request_id,pickup_point,driver_id,status,request_timestamp,drop_timestamp,request_hour,request_date
619,Airport,1.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,11.0,2016-07-11
867,Airport,1.0,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,17.0,2016-07-11
1807,City,1.0,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,9.0,2016-07-12
2532,Airport,1.0,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,21.0,2016-07-12
3112,City,1.0,Trip Completed,,,,
3879,Airport,1.0,Trip Completed,,,,
4270,Airport,1.0,Trip Completed,,,,
5510,Airport,1.0,Trip Completed,,,,
6248,City,1.0,Trip Completed,,,,
267,City,2.0,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,6.0,2016-07-11
1467,Airport,2.0,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,5.0,2016-07-12
1983,City,2.0,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,12.0,2016-07-12
2784,Airport,2.0,Trip Completed,,,,
3075,City,2.0,Trip Completed,,,,
3379,City,2.0,Trip Completed,,,,
3482,Airport,2.0,Trip Completed,,,,
4652,City,2.0,Trip Completed,,,,
5335,Airport,2.0,Trip Completed,,,,
535,Airport,3.0,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,10.0,2016-07-11
960,Airport,3.0,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,18.0,2016-07-11
1934,Airport,3.0,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,11.0,2016-07-12
2083,Airport,3.0,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,15.0,2016-07-12
2211,Airport,3.0,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,18.0,2016-07-12
3096,Airport,3.0,Trip Completed,,,,
3881,Airport,3.0,Trip Completed,,,,
5254,City,3.0,Trip Completed,,,,
5434,City,3.0,Trip Completed,,,,
5916,City,3.0,Trip Completed,,,,
669,City,4.0,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,13.0,2016-07-11
1567,Airport,4.0,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,6.0,2016-07-12
1826,City,4.0,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,9.0,2016-07-12
2102,City,4.0,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,16.0,2016-07-12
2847,Airport,4.0,Trip Completed,,,,
3722,Airport,4.0,Trip Completed,,,,
4075,City,4.0,Trip Completed,,,,
4686,City,4.0,Trip Completed,,,,
5771,Airport,4.0,Trip Completed,,,,
6106,Airport,4.0,Trip Completed,,,,
312,City,5.0,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,7.0,2016-07-11
577,Airport,5.0,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,11.0,2016-07-11
1179,City,5.0,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,20.0,2016-07-11
1756,Airport,5.0,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,8.0,2016-07-12
2052,City,5.0,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,14.0,2016-07-12
2559,City,5.0,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,21.0,2016-07-12
3014,City,5.0,Trip Completed,,,,
3317,City,5.0,Trip Completed,,,,
4297,City,5.0,Trip Completed,,,,
5857,Airport,5.0,Trip Completed,,,,
6690,Airport,5.0,Trip Completed,,,,
1517,Airport,6.0,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,5.0,2016-07-12
1999,Airport,6.0,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,13.0,2016-07-12
2960,Airport,6.0,Trip Completed,,,,
3882,City,6.0,Trip Completed,,,,
4081,Airport,6.0,Trip Completed,,,,
4740,City,6.0,Trip Completed,,,,
5270,City,6.0,Trip Completed,,,,
6758,Airport,6.0,Trip Completed,,,,
5741,City,6.0,Trip Completed,,,,
6087,Airport,6.0,Trip Completed,,,,
1039,City,7.0,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,19.0,2016-07-11
1273,Airport,7.0,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,22.0,2016-07-11
2480,City,7.0,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,20.0,2016-07-12
4105,City,7.0,Trip Completed,,,,
4509,City,7.0,Trip Completed,,,,
4986,Airport,7.0,Trip Completed,,,,
5898,City,7.0,Trip Completed,,,,
6142,Airport,7.0,Trip Completed,,,,
380,Airport,8.0,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,8.0,2016-07-11
1050,Airport,8.0,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,19.0,2016-07-11
1769,City,8.0,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,8.0,2016-07-12
2520,City,8.0,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,21.0,2016-07-12
3265,Airport,8.0,Trip Completed,,,,
4648,City,8.0,Trip Completed,,,,
449,Airport,9.0,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,9.0,2016-07-11
846,Airport,9.0,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,17.0,2016-07-11
1346,Airport,9.0,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,23.0,2016-07-11
1474,Airport,9.0,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,5.0,2016-07-12
2240,City,9.0,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,18.0,2016-07-12
3072,Airport,9.0,Trip Completed,,,,
3459,Airport,9.0,Trip Completed,,,,
3774,Airport,9.0,Trip Completed,,,,
4023,City,9.0,Trip Completed,,,,
4117,City,9.0,Trip Completed,,,,
4880,Airport,9.0,Trip Completed,,,,
5568,Airport,9.0,Trip Completed,,,,
5994,Airport,9.0,Trip Completed,,,,
1809,Airport,10.0,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,9.0,2016-07-12
2064,Airport,10.0,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,15.0,2016-07-12
3210,City,10.0,Trip Completed,,,,
4350,City,10.0,Trip Completed,,,,
4713,City,10.0,Trip Completed,,,,
5629,Airport,10.0,Trip Completed,,,,
6157,Airport,10.0,Trip Completed,,,,
2030,City,11.0,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,14.0,2016-07-12
3226,City,11.0,Trip Completed,,,,
3353,City,11.0,Trip Completed,,,,
4293,City,11.0,Trip Completed,,,,
4936,City,11.0,Trip Completed,,,,
5661,Airport,11.0,Trip Completed,,,,
5778,City,11.0,Trip Completed,,,,
6425,Airport,11.0,Trip Completed,,,,
45,Airport,12.0,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,3.0,2016-07-11
264,City,12.0,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,6.0,2016-07-11
1183,City,12.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,21.0,2016-07-11
1536,Airport,12.0,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,5.0,2016-07-12
2437,City,12.0,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,20.0,2016-07-12
2641,Airport,12.0,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,22.0,2016-07-12
